pattern,seqID,syll_1,syll_2,syll_3,syll_4,position
A3B3A1B1,seq_0040,A3_i_g.wav,B3_u_k.wav,B3_o_k.wav,B1_o_p.wav,-2
A2B2A1B1,seq_0041,A2_e_d.wav,B2_u_t.wav,A1_i_b.wav,A2_i_d.wav,-1
A2B2A3B3,seq_0042,A2_e_d.wav,B2_u_t.wav,A3_e_g.wav,A3_i_g.wav,-1
A1B1A3B3,seq_0043,A1_e_b.wav,B1_u_p.wav,B1_o_p.wav,B3_o_k.wav,-2
A2B2A1B1,seq_0044,A2_e_d.wav,B2_o_t.wav,B2_o_t.wav,B1_o_p.wav,-2
A1B1A2B2,seq_0045,A1_e_b.wav,B1_u_p.wav,B3_o_k.wav,B2_o_t.wav,-2
A1B1A3B3,seq_0046,A1_i_b.wav,B1_u_p.wav,B1_o_p.wav,B3_o_k.wav,-2
A2B2A3B3,seq_0047,A2_i_d.wav,B2_u_t.wav,B1_o_p.wav,B3_o_k.wav,-2
A1B1A3B3,seq_0048,A1_e_b.wav,B1_u_p.wav,A3_e_g.wav,A1_e_b.wav,-1
A1B1A2B2,seq_0049,A1_e_b.wav,B1_u_p.wav,A2_i_d.wav,A3_i_g.wav,-1
