pattern,seqID,syll_1,syll_2,syll_3,syll_4,position
A2A1B1B2,seq_0045,A2_e_d.wav,A1_e_b.wav,A3_e_g.wav,B2_o_t.wav,-2
A1A2B2B1,seq_0046,A1_e_b.wav,A2_e_d.wav,B2_u_t.wav,A1_e_b.wav,-1
A1A2B2B1,seq_0047,A1_i_b.wav,A2_i_d.wav,B2_u_t.wav,A1_i_b.wav,-1
A3A1B1B3,seq_0048,A3_e_g.wav,A1_e_b.wav,A1_i_b.wav,B3_o_k.wav,-2
A1A3B3B1,seq_0049,A1_i_b.wav,A3_i_g.wav,A2_i_d.wav,B1_u_p.wav,-2
A1A3B3B1,seq_0050,A1_i_b.wav,A3_i_g.wav,B3_u_k.wav,A2_e_d.wav,-1
A2A3B3B2,seq_0051,A2_i_d.wav,A3_i_g.wav,A3_i_g.wav,B2_u_t.wav,-2
A2A1B1B2,seq_0052,A2_i_d.wav,A1_i_b.wav,A1_e_b.wav,B2_u_t.wav,-2
A3A1B1B3,seq_0053,A3_i_g.wav,A1_e_b.wav,A3_i_g.wav,B3_o_k.wav,-2
A2A3B3B2,seq_0054,A2_i_d.wav,A3_e_g.wav,A2_e_d.wav,B2_o_t.wav,-2
A2A1B1B2,seq_0055,A2_e_d.wav,A1_e_b.wav,A2_i_d.wav,B2_o_t.wav,-2
A1A3B3B1,seq_0056,A1_e_b.wav,A3_i_g.wav,B3_o_k.wav,A2_e_d.wav,-1
A2A3B3B2,seq_0057,A2_e_d.wav,A3_e_g.wav,B3_u_k.wav,A2_e_d.wav,-1
A2A3B3B2,seq_0058,A2_e_d.wav,A3_e_g.wav,A2_i_d.wav,B2_u_t.wav,-2
A2A3B3B2,seq_0059,A2_e_d.wav,A3_i_g.wav,B3_o_k.wav,A3_i_g.wav,-1
A1A3B3B1,seq_0060,A1_e_b.wav,A3_e_g.wav,B3_u_k.wav,A2_i_d.wav,-1
A1A3B3B1,seq_0061,A1_i_b.wav,A3_e_g.wav,A2_i_d.wav,B1_u_p.wav,-2
A3A2B2B3,seq_0062,A3_i_g.wav,A2_i_d.wav,A1_i_b.wav,B3_o_k.wav,-2
A2A1B1B2,seq_0063,A2_e_d.wav,A1_e_b.wav,B1_o_p.wav,A3_i_g.wav,-1
A2A3B3B2,seq_0064,A2_e_d.wav,A3_e_g.wav,B3_o_k.wav,A1_i_b.wav,-1
A3A1B1B3,seq_0065,A3_e_g.wav,A1_e_b.wav,B1_o_p.wav,A1_e_b.wav,-1
A1A2B2B1,seq_0066,A1_e_b.wav,A2_e_d.wav,B2_o_t.wav,A2_e_d.wav,-1
A1A2B2B1,seq_0067,A1_e_b.wav,A2_i_d.wav,B2_o_t.wav,A1_e_b.wav,-1
A2A1B1B2,seq_0068,A2_i_d.wav,A1_e_b.wav,B1_o_p.wav,A3_e_g.wav,-1
A3A2B2B3,seq_0069,A3_e_g.wav,A2_e_d.wav,A3_e_g.wav,B3_o_k.wav,-2
A3A2B2B3,seq_0070,A3_e_g.wav,A2_i_d.wav,B2_u_t.wav,A2_e_d.wav,-1
A2A1B1B2,seq_0071,A2_e_d.wav,A1_i_b.wav,B1_u_p.wav,A3_e_g.wav,-1
A1A3B3B1,seq_0072,A1_i_b.wav,A3_i_g.wav,A2_i_d.wav,B1_o_p.wav,-2
A3A1B1B3,seq_0073,A3_e_g.wav,A1_i_b.wav,B1_u_p.wav,A1_e_b.wav,-1
A3A1B1B3,seq_0074,A3_i_g.wav,A1_e_b.wav,A3_i_g.wav,B3_u_k.wav,-2
A1A2B2B1,seq_0075,A1_e_b.wav,A2_e_d.wav,B2_u_t.wav,A1_i_b.wav,-1
A2A1B1B2,seq_0076,A2_e_d.wav,A1_i_b.wav,B1_o_p.wav,A2_i_d.wav,-1
A2A1B1B2,seq_0077,A2_e_d.wav,A1_i_b.wav,A2_e_d.wav,B2_o_t.wav,-2
A3A1B1B3,seq_0078,A3_e_g.wav,A1_i_b.wav,A1_i_b.wav,B3_o_k.wav,-2
A3A2B2B3,seq_0079,A3_i_g.wav,A2_i_d.wav,B2_u_t.wav,A1_i_b.wav,-1
A3A1B1B3,seq_0080,A3_i_g.wav,A1_i_b.wav,A2_e_d.wav,B3_u_k.wav,-2
A1A3B3B1,seq_0081,A1_e_b.wav,A3_i_g.wav,B3_o_k.wav,A2_i_d.wav,-1
A1A3B3B1,seq_0082,A1_i_b.wav,A3_e_g.wav,B3_u_k.wav,A3_i_g.wav,-1
A2A1B1B2,seq_0083,A2_i_d.wav,A1_e_b.wav,A3_e_g.wav,B2_o_t.wav,-2
A3A2B2B3,seq_0084,A3_e_g.wav,A2_i_d.wav,B2_o_t.wav,A1_i_b.wav,-1
A3A2B2B3,seq_0085,A3_i_g.wav,A2_e_d.wav,A3_e_g.wav,B3_o_k.wav,-2
A2A3B3B2,seq_0086,A2_e_d.wav,A3_i_g.wav,B3_u_k.wav,A3_i_g.wav,-1
A1A3B3B1,seq_0087,A1_i_b.wav,A3_e_g.wav,B3_u_k.wav,A1_e_b.wav,-1
A3A1B1B3,seq_0088,A3_i_g.wav,A1_i_b.wav,A1_i_b.wav,B3_o_k.wav,-2
A2A3B3B2,seq_0089,A2_e_d.wav,A3_i_g.wav,B3_o_k.wav,A1_e_b.wav,-1
A1A2B2B1,seq_0090,A1_i_b.wav,A2_i_d.wav,A3_e_g.wav,B1_u_p.wav,-2
A1A3B3B1,seq_0091,A1_i_b.wav,A3_e_g.wav,B3_o_k.wav,A2_i_d.wav,-1
A3A2B2B3,seq_0092,A3_i_g.wav,A2_e_d.wav,B2_u_t.wav,A3_e_g.wav,-1
A3A2B2B3,seq_0093,A3_i_g.wav,A2_i_d.wav,B2_u_t.wav,A3_e_g.wav,-1
A1A3B3B1,seq_0094,A1_e_b.wav,A3_e_g.wav,B3_o_k.wav,A3_i_g.wav,-1
A2A1B1B2,seq_0095,A2_e_d.wav,A1_i_b.wav,B1_o_p.wav,A1_i_b.wav,-1
