pattern,seqID,syll_1,syll_2,syll_3,syll_4,position
A2A1B1B2,seq_0027,A2_i_d.wav,A1_i_b.wav,A1_i_b.wav,B2_o_t.wav,-2
A2A1B1B2,seq_0028,A2_e_d.wav,A1_e_b.wav,A3_i_g.wav,B2_u_t.wav,-2
A1A3B3B1,seq_0029,A1_e_b.wav,A3_e_g.wav,A3_e_g.wav,B1_o_p.wav,-2
A2A1B1B2,seq_0030,A2_e_d.wav,A1_e_b.wav,A3_e_g.wav,B2_o_t.wav,-2
A2A3B3B2,seq_0031,A2_i_d.wav,A3_e_g.wav,A2_i_d.wav,B2_u_t.wav,-2
A1A2B2B1,seq_0032,A1_e_b.wav,A2_i_d.wav,A3_i_g.wav,B1_u_p.wav,-2
A3A2B2B3,seq_0033,A3_i_g.wav,A2_i_d.wav,A2_i_d.wav,B3_u_k.wav,-2
A3A1B1B3,seq_0034,A3_e_g.wav,A1_e_b.wav,A3_i_g.wav,B3_o_k.wav,-2
A2A3B3B2,seq_0035,A2_e_d.wav,A3_e_g.wav,A3_e_g.wav,B2_u_t.wav,-2
A1A3B3B1,seq_0036,A1_e_b.wav,A3_i_g.wav,A3_i_g.wav,B1_o_p.wav,-2
A1A3B3B1,seq_0037,A1_i_b.wav,A3_i_g.wav,A3_e_g.wav,B1_u_p.wav,-2
A3A2B2B3,seq_0038,A3_e_g.wav,A2_i_d.wav,A1_e_b.wav,B3_u_k.wav,-2
A2A3B3B2,seq_0039,A2_i_d.wav,A3_i_g.wav,A1_i_b.wav,B2_u_t.wav,-2
A2A3B3B2,seq_0040,A2_e_d.wav,A3_e_g.wav,A1_i_b.wav,B2_u_t.wav,-2
A2A3B3B2,seq_0041,A2_e_d.wav,A3_i_g.wav,A2_i_d.wav,B2_o_t.wav,-2
A3A1B1B3,seq_0042,A3_i_g.wav,A1_i_b.wav,A2_e_d.wav,B3_u_k.wav,-2
A2A3B3B2,seq_0043,A2_i_d.wav,A3_e_g.wav,A3_i_g.wav,B2_o_t.wav,-2
A1A3B3B1,seq_0044,A1_i_b.wav,A3_i_g.wav,A1_e_b.wav,B1_o_p.wav,-2
A3A2B2B3,seq_0045,A3_e_g.wav,A2_e_d.wav,A3_i_g.wav,B3_o_k.wav,-2
A3A1B1B3,seq_0046,A3_e_g.wav,A1_e_b.wav,A2_e_d.wav,B3_u_k.wav,-2
A2A3B3B2,seq_0047,A2_i_d.wav,A3_e_g.wav,A2_i_d.wav,B2_o_t.wav,-2
A2A1B1B2,seq_0048,A2_e_d.wav,A1_e_b.wav,A2_e_d.wav,B2_u_t.wav,-2
A1A3B3B1,seq_0049,A1_e_b.wav,A3_e_g.wav,A2_e_d.wav,B1_o_p.wav,-2
A2A3B3B2,seq_0050,A2_e_d.wav,A3_e_g.wav,A2_i_d.wav,B2_o_t.wav,-2
A2A1B1B2,seq_0051,A2_i_d.wav,A1_i_b.wav,A3_i_g.wav,B2_u_t.wav,-2
A2A3B3B2,seq_0052,A2_e_d.wav,A3_i_g.wav,A2_i_d.wav,B2_u_t.wav,-2
A1A2B2B1,seq_0053,A1_e_b.wav,A2_i_d.wav,A2_i_d.wav,B1_u_p.wav,-2
A3A1B1B3,seq_0054,A3_i_g.wav,A1_e_b.wav,A1_i_b.wav,B3_u_k.wav,-2
A1A2B2B1,seq_0055,A1_e_b.wav,A2_e_d.wav,A3_i_g.wav,B1_o_p.wav,-2
A2A1B1B2,seq_0056,A2_i_d.wav,A1_e_b.wav,A1_i_b.wav,B2_u_t.wav,-2
A3A2B2B3,seq_0057,A3_e_g.wav,A2_i_d.wav,A1_e_b.wav,B3_u_k.wav,-2
A2A1B1B2,seq_0058,A2_e_d.wav,A1_e_b.wav,A2_e_d.wav,B2_o_t.wav,-2
A1A2B2B1,seq_0059,A1_e_b.wav,A2_e_d.wav,A1_e_b.wav,B1_u_p.wav,-2
A1A3B3B1,seq_0060,A1_i_b.wav,A3_e_g.wav,A3_e_g.wav,B1_o_p.wav,-2
A3A2B2B3,seq_0061,A3_i_g.wav,A2_e_d.wav,A3_e_g.wav,B3_u_k.wav,-2
A3A1B1B3,seq_0062,A3_i_g.wav,A1_e_b.wav,A2_e_d.wav,B3_o_k.wav,-2
A3A2B2B3,seq_0063,A3_e_g.wav,A2_e_d.wav,A3_e_g.wav,B3_u_k.wav,-2
A1A3B3B1,seq_0064,A1_i_b.wav,A3_e_g.wav,A2_i_d.wav,B1_o_p.wav,-2
A2A1B1B2,seq_0065,A2_i_d.wav,A1_e_b.wav,A1_e_b.wav,B2_o_t.wav,-2
A3A2B2B3,seq_0066,A3_i_g.wav,A2_e_d.wav,A3_i_g.wav,B3_u_k.wav,-2
A1A3B3B1,seq_0067,A1_e_b.wav,A3_e_g.wav,A1_i_b.wav,B1_u_p.wav,-2
A1A2B2B1,seq_0068,A1_i_b.wav,A2_i_d.wav,A2_i_d.wav,B1_u_p.wav,-2
A3A2B2B3,seq_0069,A3_e_g.wav,A2_e_d.wav,A2_e_d.wav,B3_u_k.wav,-2
A1A3B3B1,seq_0070,A1_i_b.wav,A3_e_g.wav,A1_i_b.wav,B1_u_p.wav,-2
A1A3B3B1,seq_0071,A1_i_b.wav,A3_i_g.wav,A1_i_b.wav,B1_u_p.wav,-2
A1A2B2B1,seq_0072,A1_i_b.wav,A2_e_d.wav,A2_e_d.wav,B1_o_p.wav,-2
A1A3B3B1,seq_0073,A1_i_b.wav,A3_e_g.wav,A2_i_d.wav,B1_u_p.wav,-2
A3A1B1B3,seq_0074,A3_e_g.wav,A1_i_b.wav,A3_i_g.wav,B3_u_k.wav,-2
A1A2B2B1,seq_0075,A1_i_b.wav,A2_i_d.wav,A3_e_g.wav,B1_u_p.wav,-2
A1A3B3B1,seq_0076,A1_e_b.wav,A3_i_g.wav,A1_i_b.wav,B1_u_p.wav,-2
A3A1B1B3,seq_0077,A3_e_g.wav,A1_e_b.wav,A3_e_g.wav,B3_u_k.wav,-2
A3A1B1B3,seq_0078,A3_i_g.wav,A1_i_b.wav,A3_i_g.wav,B3_u_k.wav,-2
A1A2B2B1,seq_0079,A1_i_b.wav,A2_e_d.wav,A1_e_b.wav,B1_u_p.wav,-2
A3A1B1B3,seq_0080,A3_e_g.wav,A1_e_b.wav,A1_i_b.wav,B3_o_k.wav,-2
A3A2B2B3,seq_0081,A3_i_g.wav,A2_e_d.wav,A1_e_b.wav,B3_o_k.wav,-2
A3A2B2B3,seq_0082,A3_i_g.wav,A2_i_d.wav,A3_e_g.wav,B3_o_k.wav,-2
A3A1B1B3,seq_0083,A3_i_g.wav,A1_i_b.wav,A2_i_d.wav,B3_o_k.wav,-2
A2A3B3B2,seq_0084,A2_i_d.wav,A3_e_g.wav,A3_e_g.wav,B2_u_t.wav,-2
A2A1B1B2,seq_0085,A2_e_d.wav,A1_i_b.wav,A3_e_g.wav,B2_u_t.wav,-2
A1A3B3B1,seq_0086,A1_i_b.wav,A3_i_g.wav,A3_i_g.wav,B1_o_p.wav,-2
A1A2B2B1,seq_0087,A1_e_b.wav,A2_i_d.wav,A1_i_b.wav,B1_o_p.wav,-2
A3A1B1B3,seq_0088,A3_e_g.wav,A1_i_b.wav,A2_i_d.wav,B3_u_k.wav,-2
A1A2B2B1,seq_0089,A1_i_b.wav,A2_i_d.wav,A2_e_d.wav,B1_o_p.wav,-2
A2A3B3B2,seq_0090,A2_e_d.wav,A3_e_g.wav,A3_i_g.wav,B2_o_t.wav,-2
A1A2B2B1,seq_0091,A1_e_b.wav,A2_e_d.wav,A2_i_d.wav,B1_u_p.wav,-2
A3A2B2B3,seq_0092,A3_e_g.wav,A2_i_d.wav,A1_i_b.wav,B3_o_k.wav,-2
A2A1B1B2,seq_0093,A2_i_d.wav,A1_e_b.wav,A3_e_g.wav,B2_o_t.wav,-2
A3A2B2B3,seq_0094,A3_e_g.wav,A2_e_d.wav,A1_i_b.wav,B3_o_k.wav,-2
A2A1B1B2,seq_0095,A2_e_d.wav,A1_i_b.wav,A1_e_b.wav,B2_u_t.wav,-2
